cell_name,cell_lon,cell_lat,cell_azimuth
3rd_Cross_St-CM0669-H_A,79.852878,6.937347,210.0
3rd_Cross_St-CM0669-H_B,79.852878,6.937347,320.0
AASL-GM0001-B_A,79.890556,7.177222,5.0
AASL-GM0001-B_B,79.890556,7.177222,210.0
AASL-GM0001-B_C,79.890556,7.177222,260.0
AASL-GM0001-H_1A,79.890556,7.177222,5.0
AASL-GM0001-H_1B,79.890556,7.177222,230.0
AASL-GM0001-H_1C,79.890556,7.177222,260.0
AASL-GM0001-H_1U,79.890556,7.177222,5.0
AASL-GM0001-H_1W,79.890556,7.177222,260.0
AASL-GM0001-H_2A,79.890556,7.177222,5.0
AASL-GM0001-H_2B,79.890556,7.177222,230.0
AASL-GM0001-H_2C,79.890556,7.177222,260.0
AASL-GM0001-H_2U,79.890556,7.177222,5.0
AASL-GM0001-H_2W,79.890556,7.177222,260.0
AASL-GM0001-H_3B,79.890556,7.177222,230.0
AASL-GM0001-H_4B,79.890556,7.177222,230.0
Airport_Garden_Ind-GM0353-K_A,79.871897,7.145561,0.0
Airport_Garden_Out-GM0353-B_A,79.871897,7.145561,240.0
Airport_Jn-GM0002-B_A,79.870807,7.157203999999999,45.0
Airport_Jn-GM0002-B_B,79.870807,7.157203999999999,150.0
Airport_Jn-GM0002-B_C,79.870807,7.157203999999999,0.0
Airport_Jn-GM0002-H_1A,79.870807,7.157203999999999,0.0
Airport_Jn-GM0002-H_2A,79.870807,7.157203999999999,0.0
Airport_Jn-GM0002-H_B,79.870807,7.157203999999999,90.0
Airport_Jn-GM0002-H_C,79.870807,7.157203999999999,190.0
Airport_Jn-GM0002-H_D,79.870807,7.157203999999999,350.0
Airport_Rd_Lamp-GM5024-H_A,79.876675,7.160472,30.0
Airport_Rd_Lamp-GM5024-H_B,79.876675,7.160472,100.0
Airport_Rd_Lamp-GM5024-H_C,79.876675,7.160472,225.0
Akkarapanaha-GM0444-B_A,79.865555,7.204722,40.0
Akkarapanaha-GM0444-B_B,79.865555,7.204722,160.0
Akkarapanaha-GM0444-B_C,79.865555,7.204722,300.0
Akkarapanaha-GM0444-B_D,79.865555,7.204722,290.0
Akkarapanaha-GM0444-H_1A,79.865555,7.204722,40.0
Akkarapanaha-GM0444-H_1B,79.865555,7.204722,160.0
Akkarapanaha-GM0444-H_1C,79.865555,7.204722,300.0
Akkarapanaha-GM0444-H_2A,79.865555,7.204722,40.0
Akkarapanaha-GM0444-H_2B,79.865555,7.204722,160.0
Akkarapanaha-GM0444-H_2C,79.865555,7.204722,300.0
Akkarapanaha-GM0444-H_3B,79.865555,7.204722,160.0
Akkarapanaha-GM0444-H_4B,79.865555,7.204722,160.0
Alutepola-GM0262-H_1A,79.964722,7.208611,30.0
Alutepola-GM0262-H_B,79.964722,7.208611,180.0
Alutepola-GM0262-H_C,79.964722,7.208611,240.0
Alutepola-GM0262-P_1C,79.964722,7.208611,240.0
Alutepola-GM0262-P_2C,79.964722,7.208611,240.0
Ambalanmulla-GM0124-H_1A,79.879166,7.1194440000000005,100.0
Ambalanmulla-GM0124-H_2A,79.879166,7.1194440000000005,100.0
Ambalanmulla-GM0124-H_B,79.879166,7.1194440000000005,150.0
Ambalanmulla-GM0124-H_C,79.879166,7.1194440000000005,350.0
Andiambalama-GM0056-H_1A,79.902222,7.186944,0.0
Andiambalama-GM0056-H_1B,79.902222,7.186944,130.0
Andiambalama-GM0056-H_1C,79.902222,7.186944,220.0
Andiambalama-GM0056-H_2A,79.902222,7.186944,0.0
Andiambalama-GM0056-H_2B,79.902222,7.186944,130.0
Andiambalama-GM0056-H_2C,79.902222,7.186944,220.0
Andiambalama-GM0056-H_3A,79.902222,7.186944,0.0
Andiambalama-GM0056-H_3B,79.902222,7.186944,130.0
Andiambalama-GM0056-H_3C,79.902222,7.186944,220.0
Andiambalama-GM0056-H_4A,79.902222,7.186944,0.0
Andiambalama-GM0056-H_4B,79.902222,7.186944,130.0
Andiambalama-GM0056-H_4C,79.902222,7.186944,220.0
Andiambalama-GM0056-P_1A,79.902222,7.186944,0.0
Andiambalama-GM0056-P_C,79.902222,7.186944,120.0
Andiambalama_South-GM0696-H_1A,79.903148,7.176378,0.0
Andiambalama_South-GM0696-H_1B,79.903148,7.176378,120.0
Andiambalama_South-GM0696-H_1C,79.903148,7.176378,200.0
Andiambalama_South-GM0696-H_2A,79.903148,7.176378,0.0
Andiambalama_South-GM0696-H_2B,79.903148,7.176378,120.0
Aweriwatta-GM0057-B_A,79.883611,7.161111,45.0
Aweriwatta-GM0057-B_B,79.883611,7.161111,170.0
Aweriwatta-GM0057-B_C,79.883611,7.161111,250.0
Aweriwatta-GM0057-H_1A,79.883611,7.161111,45.0
Aweriwatta-GM0057-H_1B,79.883611,7.161111,180.0
Aweriwatta-GM0057-H_1C,79.883611,7.161111,250.0
Aweriwatta-GM0057-H_2A,79.883611,7.161111,45.0
Aweriwatta-GM0057-H_2B,79.883611,7.161111,180.0
Aweriwatta-GM0057-H_2C,79.883611,7.161111,250.0
Aweriwatta-GM0057-P_1B,79.883611,7.161111,180.0
Aweriwatta-GM0057-P_2B,79.883611,7.161111,180.0
Aweriwatta_Jn-GM0201-H_1A,79.882901,7.163842999999999,30.0
Aweriwatta_Jn-GM0201-H_1B,79.882901,7.163842999999999,140.0
Aweriwatta_Jn-GM0201-H_1C,79.882901,7.163842999999999,280.0
Aweriwatta_Jn-GM0201-H_2A,79.882901,7.163842999999999,30.0
Aweriwatta_Jn-GM0201-H_2B,79.882901,7.163842999999999,140.0
Aweriwatta_Jn-GM0201-H_2C,79.882901,7.163842999999999,280.0
Aweriwatta_Jn-GM0201-H_3A,79.882901,7.163842999999999,30.0
Aweriwatta_Jn-GM0201-H_3C,79.882901,7.163842999999999,280.0
Aweriwatta_Jn-GM0201-H_4A,79.882901,7.163842999999999,30.0
Aweriwatta_Jn-GM0201-H_4C,79.882901,7.163842999999999,280.0
Aweriwatta_Jn-GM0201-P_1A,79.882901,7.163842999999999,30.0
Aweriwatta_Jn-GM0201-P_1C,79.882901,7.163842999999999,280.0
Aweriwatta_Jn-GM0201-P_2A,79.882901,7.163842999999999,30.0
Aweriwatta_Jn-GM0201-P_2C,79.882901,7.163842999999999,280.0
Aweriwatta_Jn-GM0201-P_3A,79.882901,7.163842999999999,30.0
Aweriwatta_Jn-GM0201-P_3C,79.882901,7.163842999999999,280.0
Aweriwatta_Jn-GM0201-P_4A,79.882901,7.163842999999999,30.0
Aweriwatta_Jn-GM0201-P_4C,79.882901,7.163842999999999,280.0
BIA_Cargo_Ind-GM0563-K_A,79.876101,7.161685,0.0
BIA_Ind-GM0350-K_A,79.88813,7.181609,0.0
BIA_Ind-GM0350-K_B,79.88813,7.181609,0.0
BIA_Ind-GM0350-K_C,79.88813,7.181609,0.0
Badalgama-GM0004-H_1C,79.973611,7.280555,240.0
Badalgama-GM0004-P_C,79.973611,7.280555,300.0
